Bin,Voltage[V],Current[A],Limit,Ihlal,Band
336,164.59548697201646,0.2733056605098473,160.0,False,25us
337,201.67681359858335,0.2542270768717803,160.0,False,25us
338,167.07359111696874,0.4031272879489611,160.0,False,25us
339,186.4774755052819,0.2802408344753947,160.0,False,25us
340,168.26351360453515,0.5055489489800554,160.0,False,25us
341,177.49479315246936,0.3832519185586098,160.0,False,25us
342,169.96734624428927,0.6443904849214402,160.0,False,25us
343,178.7077265830879,0.44791747408484844,160.0,False,25us
344,181.29891017417754,0.7057544047261146,160.0,False,25us
345,181.31875762466981,0.5298804912239502,160.0,False,25us
346,168.62579116098073,0.7728669752953451,160.0,False,25us
347,177.41199150589426,0.5399792464992026,160.0,False,25us
348,170.00595311112892,0.7468244715468998,160.0,False,25us
349,186.57921075029984,0.5471150424502297,160.0,False,25us
350,174.2962151263875,0.7436047682404007,160.0,False,25us
351,184.61395853810106,0.5563962664792627,160.0,False,25us
352,172.93367502105926,0.6868287580094786,160.0,False,25us
353,181.25285086205702,0.45065627244943635,160.0,False,25us
354,180.6516176874299,0.607154334551229,160.0,False,25us
355,186.4370635889915,0.386035605326811,160.0,False,25us
356,172.804467277648,0.5176513258531491,160.0,False,25us
357,190.76787432412067,0.3119749822509254,160.0,False,25us
358,168.65634537062738,0.503176528757198,160.0,False,25us
359,187.23238230802804,0.2880387867989629,160.0,False,25us
360,174.64180314509608,0.40588467797865685,160.0,False,25us
361,181.92369866839243,0.2280577607240157,160.0,False,25us
362,169.7786324622679,0.2782439342460225,160.0,False,25us
363,181.48597262147925,0.24643117100173395,160.0,False,25us
364,164.91198368236172,0.1799914720921532,160.0,False,25us
365,165.22320689079598,0.09794202839384539,160.0,False,25us
366,24.87629125233703,0.02728971280084566,118.35195040386176,False,25us
367,70.71482047651459,0.04074448255139907,160.0,False,25us
368,169.09687022847004,0.10829946115021279,160.0,False,25us
369,179.92055167076157,0.1868538577933867,160.0,False,25us
370,176.20183347883005,0.23896419470615704,160.0,False,25us
371,174.66435350988195,0.2596620061370976,160.0,False,25us
372,173.28980561038463,0.3905593536898388,160.0,False,25us
373,182.6777719126206,0.2950336022149421,160.0,False,25us
374,167.76796742498732,0.443662037888956,160.0,False,25us
375,189.56249335655528,0.29467363396989943,160.0,False,25us
376,173.42905430568752,0.4816402196759467,160.0,False,25us
377,180.43555524214707,0.35088362174629356,160.0,False,25us
378,167.56103693932073,0.52767197964807,160.0,False,25us
379,182.61319501582793,0.3402171889822685,160.0,False,25us
380,169.90782622251507,0.5446045082790435,160.0,False,25us
381,195.21191667597418,0.32812598628095563,160.0,False,25us
382,180.11065839715772,0.5214443728535,160.0,False,25us
383,179.71086092359636,0.3777375911666136,160.0,False,25us
384,168.59877464389436,0.5734898437183442,160.0,False,25us
385,180.52290828156245,0.3673407454458873,160.0,False,25us
386,168.72027296395538,0.545647040628534,160.0,False,25us
387,183.97198975978853,0.3501663734134693,160.0,False,25us
388,173.02471534514152,0.5379184108658976,160.0,False,25us
389,183.9075454586667,0.3622813086622353,160.0,False,25us
390,179.81765838950204,0.49353533189825693,160.0,False,25us
391,190.61603001598246,0.3461167658774693,160.0,False,25us
392,158.00514734252684,0.4150817753521606,160.0,False,25us
393,185.2389898838663,0.32558651085640916,160.0,False,25us
